Video_ID,Author,Published At,Comment,cleaned_comment
oYOYvoJqs4Q,@idinwahidin8561,2025-02-24T07:21:53Z,"Kasian Lu Ded, ngoceh dimana mana tapi gak ngaruh...",kasi lu ded ngoceh mana ngaruh
oYOYvoJqs4Q,@Areiy_han,2025-02-24T07:07:19Z,Pak prabowo baru menjabat kasih kesempatan beliau untuk bekerja dan kita lihat hasilnya.,pak prabowo jabat kasih sempat beliau lihat hasil
oYOYvoJqs4Q,@ericksinaga5573,2025-02-24T06:13:29Z,Jokowi lagi disalahin.. Hadehhh,jokowi disalahin hadehhh
oYOYvoJqs4Q,@JenisalakoriRein,2025-02-24T06:08:00Z,Ngaur ngomong aj kmu,ngaur ngomong aj kmu
oYOYvoJqs4Q,@asepewok80ewok4,2025-02-24T05:53:34Z,Jangan omon omon mana uu permpasan aset bagi koruptor,jangan omon omon uu permpasan aset koruptor
oYOYvoJqs4Q,@MimiOcin-ts5dd,2025-02-24T05:45:29Z,Adili dedi sitorus cabut lidahnya tu yang memicu propaganda,adil dedi sitorus cabut lidah tu picu propaganda
oYOYvoJqs4Q,@OsorionoipiPinto,2025-02-24T05:16:32Z,Omong kosong si Dedy ini,omong kosong si dedy
oYOYvoJqs4Q,@InspirasiNusantara-y8d,2025-02-24T05:10:52Z,"sampah ilc,, koruptor diberi panggung. mau anyari sensasi ato benahi negara lu ILC.",sampah ilc koruptor panggung anyar sensasi ato benah negara lu ilc
oYOYvoJqs4Q,@agassigumy7005,2025-02-24T04:58:18Z,ini orang bisanya cocot nya  aza yg kencenggg,orang bisa cocot nya aza kencenggg
oYOYvoJqs4Q,@AryanaArya-g7v,2025-02-24T04:50:25Z,Manusia kadrun Dedy Sitorus..bentar lagi jugakk giliran dia panggil KPK...liat az.  Brooo...cangkemu .senngkuni,manusia kadrun dedy sitorusbentar jugakk gilir panggil kpkliat az brooocangkemu senngkuni
